Date,Open,High,Low,Close,Adj Close,Volume
2012-06-06,182.390060,185.468445,181.663483,185.458893,127.045349,3808800
2012-06-07,186.692154,187.217972,185.411087,185.889099,127.340034,3871351
2012-06-08,185.191208,186.558319,184.225616,186.558319,127.798416,2593243
2012-06-11,187.954117,188.049713,183.910141,184.043976,126.076057,3423872
2012-06-12,183.690247,186.108994,183.690247,185.994263,127.412117,3162790
2012-06-13,185.812622,186.606125,183.891006,184.608032,126.462479,3397094
2012-06-14,184.512421,187.217972,184.263855,186.520081,127.772285,3749910
2012-06-15,187.456985,190.506699,186.806885,190.344162,130.391891,6682894
2012-06-18,188.881454,190.860428,188.499039,189.569794,129.861420,3534329
2012-06-19,190.086044,191.195023,190.057358,190.181641,130.280548,3449290
2012-06-20,189.961761,190.956024,188.814529,190.038239,130.182327,3533597
2012-06-21,190.315491,190.678772,184.694077,184.885284,126.652344,4515164
2012-06-22,185.344162,186.309753,184.722748,185.181641,126.855392,9228858
2012-06-25,184.015289,184.885284,183.250473,184.378586,126.305267,3359334
2012-06-26,185.028687,185.162521,182.361374,183.508606,125.709320,3593951
2012-06-27,183.690247,185.181641,182.504776,184.512421,126.396935,2889784
2012-06-28,182.820267,183.632889,180.592728,182.982788,125.349129,4149796
2012-06-29,185.994263,187.198853,183.948380,186.978973,128.086609,5501542
2012-07-02,187.724670,188.527725,186.281067,187.217972,128.250320,2957042
2012-07-03,186.864243,187.705551,186.338425,187.313583,128.315842,1517118
2012-07-05,186.309753,188.193115,185.114716,186.701721,127.896713,2813949
2012-07-06,185.391968,185.411087,181.395798,182.992355,125.355637,5180733
2012-07-09,182.370941,182.600388,179.780121,181.328873,124.216110,4171553
2012-07-10,181.931168,182.734222,177.437866,178.068832,121.982925,4906054
2012-07-11,178.030594,179.120453,175.439774,177.103256,121.321465,5707081
2012-07-12,176.147232,176.281067,173.852768,175.038239,119.906853,5158140
2012-07-13,175.391968,178.135757,174.980881,177.829834,121.819183,4113918
2012-07-16,177.418732,177.915863,176.462708,176.663483,121.020241,3289042
2012-07-17,177.562134,178.097519,175.143402,175.573608,120.273552,5395896
2012-07-18,176.051620,180.296371,175.478012,179.971313,123.286163,8388397
2012-07-19,184.894836,188.193115,184.483749,186.749527,127.929428,10873588
2012-07-20,185.554489,186.328873,183.718933,183.986618,126.036797,5010026
2012-07-23,181.434036,182.887192,179.923523,182.437866,124.975853,4084107
2012-07-24,182.523895,182.906311,180.267685,181.969406,124.654922,3762567
2012-07-25,181.940720,184.292542,180.994263,182.676865,125.139572,4010155
2012-07-26,184.980881,186.376678,184.101334,185.420654,127.019127,3433913
2012-07-27,186.520081,188.728485,185.420654,187.753342,128.617081,4369456
2012-07-30,187.686417,189.139572,187.304016,188.030594,128.807022,2915202
2012-07-31,187.858505,188.891006,187.265778,187.361374,128.348587,3668322
2012-08-01,188.298279,189.149139,186.156784,186.596558,127.824654,2677028
2012-08-02,185.621414,187.954117,184.531555,185.898666,127.346634,2941980
2012-08-03,187.839386,190.200760,187.533463,189.789673,130.012039,3428893
2012-08-06,190.019119,191.147232,189.789673,190.019119,130.169220,2445339
2012-08-07,190.659653,192.045883,190.057358,191.137665,130.935455,3357032
2012-08-08,189.550674,190.908218,189.445511,190.277252,130.928314,2163442
2012-08-09,189.885284,190.688339,189.187378,189.694077,130.527008,2259465
2012-08-10,189.168259,190.602295,188.565964,190.525818,131.099335,2720123
2012-08-13,190.133850,191.185471,189.091782,190.258133,130.915161,2529542
2012-08-14,190.133850,190.564056,189.024857,189.569794,130.441544,2680166
2012-08-15,190.152969,190.564056,189.216064,189.674957,130.513885,2208943
2012-08-16,190.028687,192.466537,189.407272,192.007645,132.118973,2855057
2012-08-17,192.237091,193.116638,191.835571,192.370941,132.368912,2669183
2012-08-20,191.864243,192.284897,191.233276,191.682602,131.895294,2443456
2012-08-21,192.151047,192.160614,189.646271,189.913956,130.678314,3254420
2012-08-22,189.904404,189.913956,188.240921,188.575531,129.757355,3447721
2012-08-23,188.374756,188.690247,186.845123,187.093689,128.737717,2884240
2012-08-24,186.386230,189.397705,185.659653,189.072662,130.099442,2760917
2012-08-27,189.254303,189.579346,187.007645,187.084137,128.731155,2613745
2012-08-28,186.959854,187.485657,185.946457,186.300186,128.191727,2656003
2012-08-29,186.548752,187.418732,186.328873,186.500961,128.329880,2239904
2012-08-30,186.204590,186.873810,184.684509,184.866150,127.204956,2866981
2012-08-31,185.764816,187.332703,184.952194,186.281067,128.178543,3340192
2012-09-04,187.963669,188.499039,184.751434,185.984711,127.974617,4722062
2012-09-05,185.860428,187.237091,185.363297,186.462708,128.303528,3464875
2012-09-06,187.629059,190.688339,187.485657,190.344162,130.974350,4112558
2012-09-07,190.363297,190.726578,189.369019,190.726578,131.237503,3570730
2012-09-10,190.621414,192.944550,189.990433,192.112808,132.191376,4401568
2012-09-11,191.730408,194.512421,191.692154,194.330780,133.717468,4090488
2012-09-12,194.569794,195.650101,194.034424,194.808792,134.046417,3435064
2012-09-13,195.391968,197.715103,194.512421,197.284897,135.750214,4058062
2012-09-14,197.170166,198.518158,196.988525,197.715103,136.046265,4243727
2012-09-17,196.510513,198.843216,196.510513,198.040146,136.269882,3425755
2012-09-18,197.782028,198.738052,197.399612,197.963669,136.217285,2590001
2012-09-19,198.422562,198.441681,196.950287,197.351822,135.796249,2725458
2012-09-20,196.797318,197.887192,196.271515,197.112808,135.631805,3911099
2012-09-21,198.240921,198.795410,196.864243,196.921600,135.500229,13358989
2012-09-24,196.003830,196.998093,195.889099,196.261948,135.046341,3672611
2012-09-25,196.558319,198.202682,195.936905,195.965576,134.842422,3499079
2012-09-26,196.032501,196.921600,194.933075,195.028687,134.197754,3580772
2012-09-27,195.382416,197.801147,195.162521,196.854691,135.454163,2899407
2012-09-28,196.615677,199.158707,196.281067,198.326965,136.467255,5136801
2012-10-01,198.862335,202.437866,198.795410,201.214142,138.453918,5707917
2012-10-02,201.682602,202.170166,199.330780,200.611862,138.039459,3473766
2012-10-03,200.707458,202.007645,200.095596,201.252396,138.480240,3339146
2012-10-04,201.032501,201.692154,199.359467,201.137665,138.401276,3093545
2012-10-05,201.864243,202.476105,200.822174,201.328873,138.532867,2989886
2012-10-08,200.783936,201.376678,200.009567,200.592728,138.026276,2073800
2012-10-09,200.717010,201.472275,198.565964,198.843216,136.822495,3745098
2012-10-10,198.680695,199.072662,196.032501,196.768646,135.395020,4209627
2012-10-11,197.485657,198.154877,196.587006,196.711288,135.355515,3043860
2012-10-12,196.596558,198.814529,196.520081,198.661575,136.697510,2836752
2012-10-15,199.694077,200.191208,198.680695,199.741867,137.440811,3201701
2012-10-16,200.707458,201.720840,200.258133,201.720840,138.802521,5891177
2012-10-17,192.361374,194.464630,189.818359,191.806885,131.980804,13256899
2012-10-18,191.118546,191.338425,185.535370,186.386230,128.250916,9723511
2012-10-19,186.701721,187.456985,184.684509,184.856598,127.198387,6924834
2012-10-22,185.191208,186.118546,183.977051,185.850861,127.882530,4605015
2012-10-23,185.019119,185.468445,182.543015,182.839386,125.810341,4631060
2012-10-24,183.977051,184.789673,182.179733,182.332703,125.461739,3909948
2012-10-25,182.992355,183.977051,182.323135,183.173996,126.040611,3399082
2012-10-26,183.068832,185.344162,183.049713,184.770554,127.139183,4190799
2012-10-31,186.233276,187.772461,185.114716,185.975143,127.968025,6330706
2012-11-01,186.118546,189.187378,185.994263,188.479919,129.691620,3931705
2012-11-02,188.843216,189.292542,184.789673,184.923523,127.244469,4456065
2012-11-05,183.900574,186.395798,183.565964,185.602295,127.711479,2862065
2012-11-06,186.673035,188.097519,186.118546,186.491394,128.323273,3431926
2012-11-07,184.856598,185.162521,182.753342,182.753342,126.326912,4964525
2012-11-08,182.982788,183.374756,181.730408,181.739960,125.626442,3705141
2012-11-09,181.500961,183.212234,180.573608,181.300186,125.322479,3840494
2012-11-12,181.673035,182.380493,179.168259,180.927338,125.064751,3208500
2012-11-13,180.105164,182.485657,179.971313,180.038239,124.450127,3563408
2012-11-14,180.822174,180.946457,177.131927,177.351822,122.593178,4607002
2012-11-15,177.657745,178.967499,176.653915,177.676865,122.817879,3568638
2012-11-16,178.135757,179.311661,176.959854,178.718933,123.538193,4875197
2012-11-19,180.325043,182.017212,180.019119,181.978973,125.791687,3753989
2012-11-20,181.529633,181.749527,179.971313,180.879547,125.031677,3316029
2012-11-21,180.975143,182.495224,180.640533,181.921600,125.751999,5428322
2012-11-23,182.600388,184.980881,182.409180,184.980881,127.866753,4055970
2012-11-26,183.986618,184.866150,183.336517,184.397705,127.463608,5449974
2012-11-27,183.632889,184.560226,182.600388,182.820267,126.373215,3442281
2012-11-28,182.581268,183.594650,180.946457,183.537292,126.868835,3769366
2012-11-29,184.273422,184.416824,181.835571,183.107071,126.571442,4265483
2012-11-30,183.317398,183.556412,181.166351,181.711288,125.606621,5163474
2012-12-03,182.370941,182.887192,180.076477,181.147232,125.216728,3503682
2012-12-04,181.367111,182.361374,180.707458,181.032501,125.137405,4174272
2012-12-05,180.697891,181.128113,178.718933,180.353729,124.668251,4395397
2012-12-06,180.850861,181.816437,180.124283,181.357559,125.362122,3364564
2012-12-07,181.778198,183.747604,181.749527,183.508606,126.848991,4279500
2012-12-10,183.718933,185.028687,183.221802,184.149139,127.291740,3596671
2012-12-11,184.684509,186.233276,184.655838,185.659653,128.335907,4334624
2012-12-12,186.042068,186.185471,183.996170,184.464630,127.509872,4437027
2012-12-13,183.728485,184.560226,182.954117,183.546844,126.875473,3789867
2012-12-14,183.260040,184.894836,182.848953,183.326965,126.723457,4002937
2012-12-17,183.326965,185.382416,183.326965,185.105164,127.952606,3966850
2012-12-18,185.325043,187.304016,185.315491,187.084137,129.320541,4315691
2012-12-19,186.864243,187.810699,186.424469,186.500961,128.917450,4466943
2012-12-20,185.917786,186.376678,184.665390,186.204590,128.712570,4376987
2012-12-21,184.608032,185.946457,183.145309,184.913956,127.820457,8603664
2012-12-24,184.560226,185.305923,183.575531,183.938812,127.146362,1706235
2012-12-26,183.757172,185.019119,182.552582,183.508606,126.848991,2904219
2012-12-27,183.107071,184.780121,182.313583,184.235184,127.351250,4150110
2012-12-28,182.705551,183.766724,181.481842,181.481842,125.448051,3699284
2012-12-31,180.908218,183.250473,180.535370,183.126190,126.584648,4900405
2013-01-02,185.554489,187.715103,185.277252,187.715103,129.756714,4428869
2013-01-03,187.065002,187.657745,185.889099,186.682602,129.043045,3812356
2013-01-04,185.650101,185.908218,184.302109,185.458893,128.197159,3535689
2013-01-07,184.894836,185.258133,183.881454,184.646271,127.635437,2993966
2013-01-08,184.435944,184.799240,183.173996,184.388138,127.457016,3166137
2013-01-09,184.971313,184.980881,183.221802,183.862335,127.093483,3359752
2013-01-10,184.177826,184.474182,182.868073,184.397705,127.463608,3774073
2013-01-11,185.611862,186.424469,184.416824,185.898666,128.501129,4058898
2013-01-14,184.340347,184.780121,183.317398,184.149139,127.291740,4364121
2013-01-15,182.896744,184.254303,182.017212,184.034424,127.212463,4364017
2013-01-16,183.556412,184.684509,182.934998,184.120453,127.271927,3099193
2013-01-17,185.325043,185.908218,184.741867,185.133850,127.972473,4060154
2013-01-18,185.497131,186.424469,185.277252,185.917786,128.514359,4769342
2013-01-22,185.812622,187.456985,185.478012,187.456985,129.578278,7502226
2013-01-23,194.550674,199.407272,194.416824,195.717010,135.287964,13106903
2013-01-24,194.942642,196.042068,194.149139,195.430206,135.089706,4651771
2013-01-25,195.458893,196.156784,195.152969,195.956024,135.453186,3513409
2013-01-28,195.841293,197.151047,195.305923,195.917786,135.426788,2953590
